	(1)	(2)	(3)	(4)	(5)	(6)
	dfx_1_EL	dfx_2_EL	dfx_3_EL	dfx_4_EL	dfx_5_EL	dfx_6_EL
VARIABLES	dFX	dFX	dFX	dFX	dFX	dFX
						
RESGDP2020	-0.1778***	-0.1734**	-0.4474**	-0.3517***	-1.0165***	-0.1610**
	(0.0506)	(0.0757)	(0.1907)	(0.1221)	(0.2158)	(0.0746)
c.RESGDP2020#c.FI_2019			0.3400	0.2782**	1.4192***	
			(0.2066)	(0.1371)	(0.3939)	
RATE20q4		-0.3481	-0.8956	-1.3140**	-1.7930**	-0.0622
		(0.4323)	(0.7172)	(0.5022)	(0.7418)	(0.3833)
c.RATE20q4#c.kaopen_2019			-0.4343	-0.4601	-0.5298	
			(0.4778)	(0.3281)	(0.5058)	
dRATE22q2_21q2		0.1887	0.2442		-0.8288**	-0.1795
		(0.4984)	(0.5617)		(0.3840)	(0.5026)
RGDP_PK_2019		0.0333	-0.0163		-1.1476***	0.0480
		(0.0411)	(0.0520)		(0.3695)	(0.0391)
RPCPI_2019		-0.0204	-0.0348		-0.0045	-0.0279
		(0.0422)	(0.0436)		(0.0487)	(0.0285)
CAB_2019		0.1521	-0.0807		-0.7433***	-0.1781
		(0.2330)	(0.3095)		(0.2360)	(0.2559)
NIIP_19		0.0016	0.0089		0.1141**	0.0136
		(0.0151)	(0.0163)		(0.0422)	(0.0139)
ers_2019		-10.3033	-4.5642		0.6444	-16.9897**
		(8.7014)	(9.5489)		(8.7417)	(8.2616)
OPEN_2019		0.0324	0.0339		-0.0068	0.1143*
		(0.0514)	(0.0542)		(0.0912)	(0.0587)
FUELX_2019		-0.1080	-0.0567		0.0627	-0.1479*
		(0.0876)	(0.0930)		(0.1491)	(0.0841)
FUELM_2019		-0.0216	0.0711		-0.2740	-0.0878
		(0.2167)	(0.3363)		(0.3653)	(0.1678)
DEBT_2019					0.1245	
					(0.0770)	
sum_FXI_broad_proxy_GDP_m						-2.0514**
						(0.7973)
c.RESGDP2020#c.sum_FXI_broad_proxy_GDP_m						0.0449**
						(0.0210)
Constant	23.3637***	24.9982***	26.6400***	22.5877***	38.5309***	23.8042***
	(3.0280)	(7.7439)	(9.1281)	(2.6189)	(12.8417)	(6.6548)
						
Observations	84	52	51	51	32	47
R-squared	0.0909	0.2304	0.2716	0.2283	0.5225	0.4122
rmse	16.16	10.25	10.32	9.524	8.688	9.263
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
