	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)
	ar_1	ar_2	ar_3	ar_4	ar_5	ar_6	ar_7	ar_8	ar_9	ar_10	ar_11	ar_12	ar_13	ar_14	ar_15	ar_16	ar_17	ar_18	ar_19	ar_20	ar_21	ar_22	ar_23	ar_24	ar_25	ar_26	ar_27	ar_28	ar_29	ar_30	ar_31	ar_32	ar_33	ar_34	ar_35	ar_36	ar_37	ar_38	ar_39	ar_40	ar_41	ar_42	ar_43	ar_44	ar_45	ar_46	ar_47	ar_48	ar_49	ar_50	ar_51	ar_52	ar_53	ar_54	ar_55	ar_56	ar_57	ar_58	ar_59	ar_60	ar_61	ar_62	ar_63	ar_64	ar_65	ar_66	ar_67	ar_68	ar_69	ar_70	ar_71	ar_72	ar_73	ar_74	ar_75	ar_76	ar_77	ar_78	ar_79	ar_80	ar_81	ar_82	ar_83	ar_84	ar_85	ar_86	ar_87	ar_88	ar_89	ar_90	ar_91	ar_92	ar_93	ar_94	ar_95	ar_96	ar_97	ar_98	ar_99	ar_100
VARIABLES	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres	lres
																																																																																																				
L.lres	0.8392***	0.8997***	0.8392***	0.6892***	-0.0074	0.5826**	0.5064***	0.5389**	0.8285***	0.4550**	0.6418***	0.9558***	0.9126***	0.8898***	0.6772***	0.7642***	1.0376***	0.8878***	0.6370***	0.8322***	1.0961***	0.6231***	0.5368***	0.9032***	0.8712***	1.0118***	0.7029***	0.8589***	0.2963	0.8560***	0.2281	0.8273***	0.7363***	0.5840**	0.4471*	0.8553***	0.6267***	0.3896*	0.7681***	1.1698***	0.7255***	0.9006***	0.8419***	0.5287***	0.5006***	0.7170***	0.9230***	0.9715***	0.6968***	0.7571***	0.5194**	0.4196*	0.2898	0.5845***	0.5424**	0.6218***	0.6048***	0.7430***	0.7967***	0.7992***	0.8877***	1.0078***	0.9175***	0.7447***	0.4242*	0.7248***	0.8020***	0.8453***	0.7149***	0.4909**	0.8242***	0.6750***	0.6886***	0.8009***	0.4358**	0.4557**	0.3878	0.7956***	0.8880***	0.8993***	0.7411***	0.7731***	0.5773***	0.6174***	0.4834**	0.8076***	0.6567***	0.4371	0.8450***	0.8720***	0.8969***	0.8962***	0.3192	0.7710***	0.8783***	0.0275	0.5386***	1.0047***	0.7130***	0.7656***
	(0.2022)	(0.1026)	(0.1302)	(0.1583)	(0.2429)	(0.2039)	(0.1187)	(0.2182)	(0.0860)	(0.2039)	(0.1609)	(0.1040)	(0.1064)	(0.1092)	(0.1862)	(0.1373)	(0.0568)	(0.1347)	(0.1645)	(0.0876)	(0.1396)	(0.1855)	(0.1531)	(0.1691)	(0.1049)	(0.1044)	(0.1454)	(0.1561)	(0.2460)	(0.1263)	(0.2371)	(0.1287)	(0.1348)	(0.2288)	(0.2366)	(0.0937)	(0.1308)	(0.1922)	(0.1343)	(0.1850)	(0.1681)	(0.2358)	(0.1312)	(0.1482)	(0.1565)	(0.0953)	(0.1354)	(0.1336)	(0.2100)	(0.0624)	(0.2205)	(0.2198)	(0.2092)	(0.1678)	(0.2029)	(0.0947)	(0.2035)	(0.1467)	(0.1910)	(0.1476)	(0.1187)	(0.1284)	(0.0716)	(0.1403)	(0.2304)	(0.1881)	(0.1465)	(0.1502)	(0.1659)	(0.2128)	(0.0902)	(0.1747)	(0.2179)	(0.1919)	(0.1896)	(0.2126)	(0.2833)	(0.1455)	(0.1012)	(0.1170)	(0.1768)	(0.1136)	(0.1262)	(0.1390)	(0.2270)	(0.0881)	(0.1472)	(0.2561)	(0.1233)	(0.0943)	(0.0851)	(0.1118)	(0.2463)	(0.1463)	(0.1155)	(0.3495)	(0.1825)	(0.0894)	(0.1680)	(0.1850)
Constant	0.5207	0.4227	0.4876	0.7455*	2.9513***	0.6630*	0.6323***	1.2518**	0.4432**	1.0827**	0.4990**	0.1217	0.3016	0.3502	1.1786*	0.5332	-0.0449	0.1871	0.9958**	0.6016*	-0.2073	0.4547*	1.2129***	0.3499	0.1203	0.0202	0.8950*	0.3250	0.9703**	0.3489	2.0224***	0.2979	0.3928*	0.4489*	1.4287**	0.4565*	0.3572**	1.5370***	0.1385	-0.4223	0.5138	0.3264	0.5093	1.3667***	1.2782***	0.1584*	0.2940	0.0486	0.9059	0.7856***	1.2260**	1.3638**	2.2840***	1.3573**	1.2927**	1.6445***	1.0275*	0.1990*	0.5011	0.7379	0.3172	0.0350	0.2557	0.8511*	1.7030**	0.8881	0.5508	0.5173	0.2907	1.1706**	0.5505**	0.7691*	0.9941	0.5603	1.6898***	1.0819**	1.2991**	0.6073	0.4027	0.3323	0.7715	0.2222	1.2935***	1.2565**	1.3426**	0.8572**	0.9063**	2.5316**	0.2577	0.1135	0.2868	0.1273	1.5599**	0.5185	0.4710	2.3457**	1.3005**	0.0256	0.1406	0.7338
	(0.6235)	(0.4330)	(0.3607)	(0.3714)	(0.7087)	(0.3369)	(0.1614)	(0.5856)	(0.1885)	(0.3987)	(0.2307)	(0.3364)	(0.4428)	(0.2852)	(0.6575)	(0.3109)	(0.1912)	(0.2166)	(0.4581)	(0.3071)	(0.3543)	(0.2381)	(0.3960)	(0.5499)	(0.2222)	(0.3506)	(0.4252)	(0.3065)	(0.3414)	(0.3288)	(0.6226)	(0.2738)	(0.2137)	(0.2439)	(0.6085)	(0.2496)	(0.1319)	(0.4779)	(0.1081)	(0.4944)	(0.3311)	(0.7028)	(0.4144)	(0.4184)	(0.4060)	(0.0795)	(0.4404)	(0.1500)	(0.6177)	(0.1889)	(0.5715)	(0.5168)	(0.6679)	(0.5429)	(0.5756)	(0.3994)	(0.5475)	(0.1044)	(0.4398)	(0.5438)	(0.2440)	(0.4269)	(0.1771)	(0.4485)	(0.6683)	(0.5960)	(0.3723)	(0.4716)	(0.1738)	(0.4913)	(0.2519)	(0.4302)	(0.6817)	(0.5200)	(0.5607)	(0.4258)	(0.5900)	(0.3961)	(0.3296)	(0.3595)	(0.5090)	(0.1481)	(0.3780)	(0.4390)	(0.5820)	(0.3557)	(0.3653)	(1.1464)	(0.2659)	(0.1869)	(0.1947)	(0.1428)	(0.5697)	(0.3188)	(0.4176)	(0.8485)	(0.5020)	(0.1321)	(0.0819)	(0.5372)
																																																																																																				
Observations	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19
R-squared	0.5034	0.8188	0.7097	0.5272	0.0001	0.3246	0.5170	0.2640	0.8451	0.2266	0.4834	0.8325	0.8123	0.7960	0.4377	0.6456	0.9515	0.7187	0.4687	0.8414	0.7838	0.3989	0.4198	0.6267	0.8023	0.8468	0.5790	0.6404	0.0786	0.7299	0.0516	0.7085	0.6370	0.2770	0.1735	0.8305	0.5747	0.1946	0.6580	0.7016	0.5228	0.4618	0.7079	0.4281	0.3757	0.7691	0.7320	0.7569	0.3931	0.8964	0.2461	0.1765	0.1014	0.4166	0.2959	0.7173	0.3420	0.6014	0.5057	0.6331	0.7669	0.7839	0.9063	0.6238	0.1663	0.4663	0.6380	0.6509	0.5220	0.2384	0.8309	0.4676	0.3700	0.5061	0.2370	0.2128	0.0993	0.6376	0.8191	0.7766	0.5082	0.7316	0.5517	0.5371	0.2105	0.8317	0.5392	0.1462	0.7342	0.8343	0.8672	0.7907	0.0899	0.6203	0.7729	0.0004	0.3388	0.8813	0.5146	0.5017
