	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)
	D.logreer																										
VARIABLES	ec	cn_1	cn_2	cn_3	cn_4	cn_5	cn_6	cn_7	cn_8	cn_9	cn_10	cn_11	cn_12	cn_13	cn_14	cn_15	cn_16	cn_17	cn_18	cn_19	cn_20	cn_21	cn_22	cn_23	cn_24	cn_25	cn_26
																											
ec		-0.189*	-0.112**	-0.170**	-0.206***	-0.613***	0.158***	-0.0940*	0.0241	-0.0936	-0.00961	-0.233***	-0.266***	-0.205*	-0.226*	-0.163	-0.588***	-0.305***	-0.138**	-0.531***	-0.277***	-0.0284	0.0457	-0.210**	-0.320**	-0.185*	-0.110
		(0.0934)	(0.0473)	(0.0290)	(0.000843)	(3.27e-08)	(0.00956)	(0.0615)	(0.676)	(0.205)	(0.778)	(0.00816)	(0.00502)	(0.0997)	(0.0856)	(0.154)	(2.55e-05)	(0.00308)	(0.0292)	(0.000122)	(0.00257)	(0.118)	(0.258)	(0.0117)	(0.0169)	(0.0856)	(0.128)
D.logfeer		0.351**	-0.0207	0.215	0.0480	-0.364***	-0.0841	0.00374	0.0307	0.284**	0.0667	0.0125	0.551***	0.539***	0.351**	0.854***	0.214	0.474***	0.598***	0.277**	0.206**	0.0981***	-0.191**	-0.0296	0.415***	0.342***	0.341**
		(0.0159)	(0.717)	(0.215)	(0.570)	(0.00160)	(0.264)	(0.978)	(0.709)	(0.0139)	(0.156)	(0.910)	(0.00107)	(0.000532)	(0.0168)	(5.30e-08)	(0.375)	(0.00377)	(0)	(0.0194)	(0.0311)	(0.00611)	(0.0321)	(0.726)	(4.47e-05)	(0.00150)	(0.0261)
D.logreer_cs		3.830***	-0.139	2.473***	0.993**	-0.752	2.374***	-0.564	-0.0264	-0.0861	0.642***	-0.0652	0.283	0.0370	-0.267	0.0828	1.354***	1.737***	0.287	-0.604***	1.649***	0.388**	-0.374	0.571	-0.249	2.649***	-0.0664
		(0.00469)	(0.271)	(0.00827)	(0.0126)	(0.247)	(2.32e-05)	(0.105)	(0.881)	(0.645)	(0.000613)	(0.876)	(0.744)	(0.889)	(0.346)	(0.791)	(0.000544)	(0.00961)	(0.230)	(0.000177)	(5.23e-06)	(0.0282)	(0.300)	(0.148)	(0.159)	(3.84e-06)	(0.831)
D.logfeer_cs		-2.945**	-0.136	-0.892	-0.291	-0.317	0.240	0.545*	-0.227	-0.257*	0.100	0.287	-0.329	-0.270	0.204	-0.0585	0.142	-0.627	0.0476	-0.208*	-0.238	0.0310	0.459*	0.305	0.0539	-1.423***	-0.126
		(0.0101)	(0.182)	(0.214)	(0.328)	(0.536)	(0.610)	(0.0544)	(0.130)	(0.0825)	(0.506)	(0.423)	(0.612)	(0.202)	(0.359)	(0.815)	(0.674)	(0.222)	(0.774)	(0.0770)	(0.480)	(0.841)	(0.0727)	(0.331)	(0.678)	(0.000749)	(0.664)
logfeer	0.738***																										
	(0)																										
L.logreer_cs	-0.0283																										
	(0.860)																										
logfeer_cs	-0.187																										
	(0.109)																										
Constant		0.430	0.246*	0.374*	0.467***	1.392***	-0.332**	0.207*	-0.0498	0.209	0.0122	0.508**	0.575**	0.445	0.491	0.371	1.284***	0.676**	0.307**	1.158**	0.617**	0.0515	-0.100	0.458**	0.708*	0.416	0.241
		(0.129)	(0.0882)	(0.0734)	(0.00954)	(0.00213)	(0.0446)	(0.0921)	(0.692)	(0.224)	(0.870)	(0.0339)	(0.0223)	(0.131)	(0.132)	(0.180)	(0.00534)	(0.0295)	(0.0452)	(0.0154)	(0.0184)	(0.244)	(0.281)	(0.0326)	(0.0587)	(0.115)	(0.172)
																											
Observations	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728
pval in parentheses																											
*** p<0.01, ** p<0.05, * p<0.1																											
Notes:																											
