	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)
	D.logfeer																										
VARIABLES	ec	cn_1	cn_2	cn_3	cn_4	cn_5	cn_6	cn_7	cn_8	cn_9	cn_10	cn_11	cn_12	cn_13	cn_14	cn_15	cn_16	cn_17	cn_18	cn_19	cn_20	cn_21	cn_22	cn_23	cn_24	cn_25	cn_26
																											
ec		-0.546***	-0.352***	-0.0871	-0.516***	-0.628***	-0.394***	-0.0324	-0.148	-0.0728	-0.233*	-0.373***	-0.504***	-0.436***	-0.321**	-0.585***	-0.449***	-0.180*	-0.236	-0.308***	-0.176	-0.0943	-0.159***	-0.743***	-0.180*	-0.433**	-0.0784
		(6.46e-05)	(0.00179)	(0.370)	(0.000159)	(6.40e-05)	(0.000103)	(0.662)	(0.105)	(0.459)	(0.0530)	(0.00634)	(0.00674)	(6.44e-05)	(0.0135)	(7.76e-05)	(0.00111)	(0.0656)	(0.181)	(0.000117)	(0.178)	(0.220)	(0.000893)	(5.43e-07)	(0.0661)	(0.0117)	(0.246)
D.logreer		0.113	0.145	0.459***	0.702**	-0.0552	-1.247***	0.160	-0.137	0.902***	0.839	0.432	0.291*	0.00739	0.302	0.333***	0.236**	0.468***	0.856***	0.500***	0.745***	2.488***	-0.880***	0.134	1.139***	0.812***	0.622***
		(0.540)	(0.785)	(0.00990)	(0.0142)	(0.810)	(0.00194)	(0.539)	(0.760)	(0.000238)	(0.243)	(0.129)	(0.0672)	(0.967)	(0.135)	(0.00647)	(0.0206)	(0.000383)	(0.000458)	(0.00384)	(0.00430)	(0.000471)	(0.00510)	(0.666)	(0)	(0.000280)	(0.000626)
D.logfeer_cs		3.676***	0.462	1.221	1.778***	1.133	1.785**	0.177	0.293	0.281	0.0883	0.861	0.982*	0.316*	-0.134	-0.0957	0.485**	0.948**	0.0905	0.493***	1.535***	1.023	1.244***	-0.113	0.0984	2.266***	0.830***
		(0.000233)	(0.139)	(0.127)	(0.000383)	(0.216)	(0.0432)	(0.684)	(0.387)	(0.268)	(0.879)	(0.143)	(0.0674)	(0.0645)	(0.580)	(0.593)	(0.0372)	(0.0474)	(0.700)	(0.000358)	(0.00437)	(0.138)	(0.00295)	(0.845)	(0.611)	(0.000224)	(0.00493)
D.logreer_cs		0.599	0.0526	-2.832***	-0.158	0.00243	2.147	0.196	-0.271	-0.0905	-0.690	-0.983	0.793	0.186	-0.0110	0.148	-0.824***	-0.336	-0.298	0.676***	-1.262	-1.651**	-1.618***	-1.188	0.250	-2.811***	-0.106
		(0.688)	(0.893)	(0.00717)	(0.852)	(0.998)	(0.101)	(0.710)	(0.486)	(0.773)	(0.429)	(0.212)	(0.284)	(0.486)	(0.972)	(0.535)	(0.00533)	(0.643)	(0.360)	(0.000232)	(0.136)	(0.0436)	(0.00256)	(0.144)	(0.289)	(0.00465)	(0.766)
logreer	0.698***																										
	(0)																										
L.logfeer_cs	0.426***																										
	(0.000655)																										
logreer_cs	-0.649***																										
	(6.94e-05)																										
Constant		1.444***	0.840**	0.198	1.240***	1.474***	0.967***	0.0726	0.359	0.167	0.583*	0.916**	1.165**	1.031***	0.767**	1.427***	1.084***	0.451*	0.554	0.732***	0.408	0.259	0.398***	1.792***	0.444*	1.087**	0.205
		(0.00599)	(0.0133)	(0.401)	(0.00966)	(0.00439)	(0.00692)	(0.687)	(0.136)	(0.482)	(0.0749)	(0.0217)	(0.0295)	(0.00741)	(0.0290)	(0.00938)	(0.00851)	(0.0870)	(0.206)	(0.00268)	(0.213)	(0.196)	(0.00898)	(0.00223)	(0.0881)	(0.0382)	(0.238)
																											
Observations	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728
pval in parentheses																											
*** p<0.01, ** p<0.05, * p<0.1																											
Notes:																											
