	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)
	D.logfeer																										
VARIABLES	ec	cn_1	cn_2	cn_3	cn_4	cn_5	cn_6	cn_7	cn_8	cn_9	cn_10	cn_11	cn_12	cn_13	cn_14	cn_15	cn_16	cn_17	cn_18	cn_19	cn_20	cn_21	cn_22	cn_23	cn_24	cn_25	cn_26
																											
ec		-0.538***	-0.328***	-0.104	-0.563***	-0.609***	-0.350***	-0.0610	-0.176*	-0.0536	-0.217*	-0.346***	-0.785***	-0.311***	-0.501***	-0.371***	-0.330**	-0.190**	-0.300*	-0.309**	-0.233*	-0.108	-0.122**	-0.661***	-0.216*	-0.616***	-0.104
		(0.00100)	(0.00794)	(0.308)	(0.000511)	(4.79e-05)	(0.00127)	(0.449)	(0.0620)	(0.567)	(0.0625)	(0.00383)	(6.41e-05)	(0.00118)	(0.00168)	(0.00567)	(0.0304)	(0.0326)	(0.0762)	(0.0321)	(0.0638)	(0.154)	(0.0202)	(1.23e-06)	(0.0835)	(0.00104)	(0.146)
D.logreer		0.180	0.0663	0.298	0.828***	-0.0451	-0.726*	0.177	-0.182	0.866***	0.521	0.391	0.179	0.141	0.170	0.514***	0.251**	0.477***	0.688***	0.218	0.643**	2.393***	-0.708*	-0.0843	1.135***	0.378*	0.679***
		(0.350)	(0.899)	(0.118)	(0.00143)	(0.841)	(0.0602)	(0.464)	(0.664)	(0.000278)	(0.373)	(0.190)	(0.296)	(0.455)	(0.423)	(9.25e-06)	(0.0279)	(0.000323)	(0.00334)	(0.405)	(0.0101)	(0.000866)	(0.0589)	(0.788)	(0)	(0.0655)	(0.00104)
logreer	0.708***																										
	(0)																										
Constant		0.857***	0.434**	0.118	0.754***	0.781***	0.492***	0.0773	0.238*	0.0647	0.308*	0.481***	0.984***	0.401***	0.659***	0.507***	0.445**	0.272**	0.387*	0.409**	0.294*	0.172	0.178**	0.890***	0.301*	0.889***	0.158
		(0.00442)	(0.0133)	(0.386)	(0.00266)	(0.000117)	(0.00332)	(0.478)	(0.0722)	(0.598)	(0.0675)	(0.00442)	(0.000951)	(0.00450)	(0.00554)	(0.00877)	(0.0364)	(0.0342)	(0.0871)	(0.0405)	(0.0800)	(0.115)	(0.0177)	(2.41e-05)	(0.0888)	(0.00347)	(0.122)
																											
Observations	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728
pval in parentheses																											
*** p<0.01, ** p<0.05, * p<0.1																											
Notes:																											
