	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	N	mean	p25	p50	p75	sd	min	max
								
CAB	4,510	-2.276	-7.167	-2.773	1.739	14.01	-148.0	311.7
GDeficit	4,859	-2.020	-4.613	-2.335	0.0160	6.551	-59.74	125.1
GDebt	4,694	55.83	29.48	46.25	69.83	44.59	0	600.1
vul	4,784	0.442	0.372	0.430	0.517	0.0955	0.244	0.696
sovrate	3,300	12.36	8	11.87	16.67	5.181	1	21
bonds_tw	2,052	6.078	3.970	5.256	7.351	3.656	0.438	23.31
msciworld_gw	4,440	0.524	0.00591	0.890	1.285	1.420	-4.297	3.184
bondsUS_tw	4,440	3.686	2.386	3.697	4.675	1.332	1.778	6.048
cpi_tw	3,607	0.501	0.132	0.291	0.592	0.843	-1.223	8.925
VIXCLS	5,373	20.48	15.48	19.66	25.60	5.903	11.09	32.70
banking	4,356	0.0119	0	0	0	0.109	0	1
currency	4,356	0.0177	0	0	0	0.132	0	1
debt	4,356	0.00620	0	0	0	0.0785	0	1
								
